fid,id,NDVI_mean,NDVI_stdev,NDVI_variance
"1","1",0.699248448535279,0.036871825972594,0.00135953155055326
"2","2",0.689345493912697,0.0293764177336124,0.0008629739188597
"3","3",0.636368318500682,0.143030663309144,0.0204577706466536
"4","4",0.728607527065006,0.0725530426081244,0.00526394399169632
"5","5",0.764651326443555,0.0313269550048666,0.000981378109876939
"6","6",0.846975398524631,0.0121726054433441,0.00014817232327933
"7","7",0.823916414233161,0.0615082322598869,0.0037832626357362
"8","8",0.486479228531772,0.10082222955138,0.0101651219717113
"9","9",0.835086455950314,0.0162725330356601,0.000264795331396649
"10","10",0.782015846618611,0.0665524230658456,0.00442922501593529
