fid,id,NDVI_mean,NDVI_stdev,NDVI_variance
"1","1",0.108649669514669,0.0127517284179204,0.000162606577644398
"2","2",0.0869504621119371,0.0102392357803806,0.000104841949366226
"3","3",0.0876252490740556,0.0249362092034518,0.000621814529438315
"4","4",0.205317359544675,0.0605563505182106,0.00366707158808439
"5","5",0.121987140410081,0.0228824663775602,0.000523607267520173
"6","6",0.27273175956534,0.0384562823746873,0.00147888565408168
"7","7",0.272303795473466,0.0731574383407943,0.00535201078458713
"8","8",0.0844034053046595,0.0234906618280325,0.000551811193118981
"9","9",0.342591130693997,0.116576822899031,0.013590155637232
"10","10",0.371251436478438,0.200422036504272,0.0401689927165198
