fid,id,NDVI_mean,NDVI_stdev,NDVI_variance
"1","1",0.555791216713565,0.0289965774172655,0.000840801501915471
"2","2",0.604134140802281,0.0255801324178945,0.000654343174517019
"3","3",0.382057736699398,0.163254434567443,0.0266520104059357
"4","4",0.726600901562382,0.0770106705530073,0.00593064337902382
"5","5",0.634820333774179,0.0365624295242711,0.00133681125271729
"6","6",0.73411267486622,0.0264627928462046,0.000700279405221138
"7","7",0.757483488216367,0.0407747075982246,0.00166257677972072
"8","8",0.40564660330049,0.115952094009072,0.0134448881050887
"9","9",0.728805571217299,0.0262143444846074,0.000687191856757667
"10","10",0.755876892313036,0.074003079440987,0.00547645576674903
